family,x,y,n,r,p,spearman_rho,spearman_p,p_fdr,sig_fdr_05
condition_level_active,early_lpp_amp_uV_active,estimation_ratio_active,23,0.3504244190116028,0.10114704291576514,-0.21047430830039524,0.33506327271090675,0.7080293004103559,False
condition_level_active,early_lpp_amp_uV_active,recognition_accuracy_active,23,0.08354077465099119,0.7047113524631088,-0.07209988049541788,0.7437270214602256,0.7707780417565253,False
condition_level_active,early_lpp_amp_uV_active,variability_sd_s_active,22,0.19367492485554955,0.38780246184391354,0.003952569169960475,0.986072032076201,0.7132689756389635,False
condition_level_active,early_lpp_amp_uV_active,recognition_rt_s_active,23,0.17312016642562797,0.4295587869860695,0.1314229249011858,0.5500163417360642,0.7132689756389635,False
condition_level_active,lpp_amp_uV_active,estimated_duration_s_active,23,0.1380634380167299,0.5298569533318015,0.02816901494446112,0.8984774031385059,0.7132689756389635,False
condition_level_active,lpp_amp_uV_active,estimation_ratio_active,23,0.21648610736761298,0.3211177163617353,-0.274703557312253,0.20460597944666878,0.7132689756389635,False
condition_level_active,lpp_amp_uV_active,recognition_accuracy_active,23,0.12438139426172468,0.5717675907487783,-0.0010449258042814187,0.996224578561034,0.7411802102298977,False
condition_level_active,lpp_amp_uV_active,variability_sd_s_active,22,0.1814736527447649,0.4189492180563015,0.06832298136645965,0.7625680708731801,0.7132689756389635,False
condition_level_active,lpp_amp_uV_active,recognition_rt_s_active,23,0.054530280036134124,0.8048171970642577,0.07312252964426878,0.7402130561603608,0.8474762589009136,False
condition_level_active,rise_delta_uV_active,estimated_duration_s_active,23,0.1792915477479449,0.41303433478745083,-0.059303189356760266,0.7880958998190983,0.7132689756389635,False
condition_level_active,rise_delta_uV_active,estimation_ratio_active,23,0.3767732431898673,0.07637016267697652,-0.23023715415019763,0.290564282427289,0.6682389234235446,False
condition_level_active,rise_delta_uV_active,recognition_accuracy_active,23,0.09406604459386717,0.6694404697866111,-0.0506789015076488,0.8183709606709137,0.7707780417565253,False
