sub,condition,repetition,window,amplitude_uV,n_epochs
010,active,4,N1,4.99877803872819,16
010,active,4,P2,8.469945637881576,16
010,active,4,P3,6.848733529377672,16
010,passive,1,N1,4.771997035732958,32
010,passive,1,P2,6.733648641135207,32
010,passive,1,P3,4.603666874845092,32
010,passive,2,N1,6.337589940184259,20
010,passive,2,P2,8.367698573351355,20
010,passive,2,P3,6.091429569115579,20
010,passive,3,N1,4.635040625247321,26
010,passive,3,P2,6.400121321597319,26
010,passive,3,P3,4.778163018305799,26
010,passive,4,N1,5.084855488749187,25
010,passive,4,P2,6.1561797266061875,25
010,passive,4,P3,5.049674098646101,25
011,active,1,N1,12.295933819294506,36
011,active,1,P2,15.150668704973855,36
011,active,1,P3,10.426490071790854,36
011,active,2,N1,11.800897747422407,39
011,active,2,P2,13.63082704054981,39
011,active,2,P3,8.35761641072919,39
011,active,3,N1,12.91173906287915,39
011,active,3,P2,16.503842701547416,39
011,active,3,P3,10.24334603234539,39
011,active,4,N1,12.80280956267187,38
011,active,4,P2,14.170557079795287,38
011,active,4,P3,8.55215056780623,38
011,passive,1,N1,12.411640125119446,39
011,passive,1,P2,14.69108949229948,39
011,passive,1,P3,8.801065229136562,39
011,passive,2,N1,11.803479565411967,38
011,passive,2,P2,14.900524386512927,38
011,passive,2,P3,9.033508368938831,38
011,passive,3,N1,13.185618972705091,36
011,passive,3,P2,16.47526709037812,36
011,passive,3,P3,10.719181273101311,36
011,passive,4,N1,12.669094625191251,39
011,passive,4,P2,14.546413740843176,39
011,passive,4,P3,9.155066267562892,39
012,active,1,N1,9.767778937814269,39
012,active,1,P2,11.117117525837752,39
012,active,1,P3,5.81587805420493,39
012,active,2,N1,10.16493650922037,39
012,active,2,P2,12.641145639227094,39
012,active,2,P3,8.237362978752259,39
012,active,3,N1,9.947333850309448,39
012,active,3,P2,13.081604168278021,39
012,active,3,P3,9.171323728199914,39
012,active,4,N1,8.502530821938183,39
012,active,4,P2,12.274649332805318,39
012,active,4,P3,8.800747717360066,39
012,passive,1,N1,8.189883133400931,35
012,passive,1,P2,10.62584838285858,35
012,passive,1,P3,4.359934729367173,35
012,passive,2,N1,2.094151410355315,37
012,passive,2,P2,6.734128235692982,37
012,passive,2,P3,3.5351423020217636,37
012,passive,3,N1,8.686223305941198,39
012,passive,3,P2,11.036339137605397,39
012,passive,3,P3,6.046657795001527,39
012,passive,4,N1,7.385412933310599,39
012,passive,4,P2,10.943722318441548,39
012,passive,4,P3,6.642027404263452,39
013,active,1,N1,8.620719730214862,39
013,active,1,P2,12.652056257858462,39
013,active,1,P3,7.458948868365665,39
013,active,2,N1,7.8701185427179094,39
013,active,2,P2,12.668906584675293,39
013,active,2,P3,6.638262324222149,39
013,active,3,N1,10.059443451888647,39
013,active,3,P2,14.541935877655748,39
013,active,3,P3,10.184761542426614,39
013,active,4,N1,6.903486514726237,39
013,active,4,P2,12.854149209005401,39
013,active,4,P3,6.998205173416546,39
013,passive,1,N1,8.009447591361145,39
013,passive,1,P2,12.450885556370482,39
013,passive,1,P3,8.178131001149419,39
013,passive,2,N1,8.09401177417029,37
013,passive,2,P2,14.800124671866586,37
013,passive,2,P3,9.868947316451344,37
013,passive,3,N1,8.676171429450898,37
013,passive,3,P2,13.338038639154842,37
013,passive,3,P3,8.286663718078009,37
013,passive,4,N1,6.589114682815274,38
013,passive,4,P2,12.598883926278114,38
013,passive,4,P3,8.130255588887245,38
014,active,1,N1,5.973784741271116,36
014,active,1,P2,5.173492511025727,36
014,active,1,P3,2.775533678781177,36
014,active,2,N1,6.87963776599075,33
014,active,2,P2,6.707718286641696,33
014,active,2,P3,3.224048821339891,33
014,active,3,N1,7.27903620067721,36
014,active,3,P2,6.480201942000338,36
014,active,3,P3,3.587846020459401,36
014,active,4,N1,6.221201242287603,31
014,active,4,P2,6.140843632623955,31
014,active,4,P3,2.5450990367667483,31
014,passive,1,N1,5.13352248653135,37
014,passive,1,P2,4.938725751372706,37
014,passive,1,P3,2.00127701911597,37
014,passive,2,N1,5.310889156224251,36
014,passive,2,P2,5.634500357726361,36
014,passive,2,P3,3.291066940266911,36
014,passive,3,N1,4.082258782592531,36
014,passive,3,P2,5.0249782975615185,36
014,passive,3,P3,4.380922720033675,36
014,passive,4,N1,4.912430822574498,34
014,passive,4,P2,4.995749179293318,34
014,passive,4,P3,2.2475778084393925,34
017,active,1,N1,31.55010473777297,38
017,active,1,P2,32.424688319989954,38
017,active,1,P3,22.03185024050004,38
017,active,2,N1,32.10453847282086,35
017,active,2,P2,34.38616622814114,35
017,active,2,P3,22.522532704755132,35
017,active,3,N1,27.895969209774066,34
017,active,3,P2,30.792201031158886,34
017,active,3,P3,23.486100633467103,34
017,active,4,N1,33.437230861397865,35
017,active,4,P2,38.1124682296287,35
017,active,4,P3,25.22938709757869,35
017,passive,1,N1,24.83955897304556,39
017,passive,1,P2,26.72900740397132,39
017,passive,1,P3,18.13218430292465,39
017,passive,2,N1,28.28984745270409,39
017,passive,2,P2,33.691311954617845,39
017,passive,2,P3,23.059058918888148,39
017,passive,3,N1,26.37179379690134,38
017,passive,3,P2,29.41070909735654,38
017,passive,3,P3,19.69398908301863,38
017,passive,4,N1,28.447367136404875,38
017,passive,4,P2,32.95827666102925,38
017,passive,4,P3,21.956704309824772,38
018,active,1,N1,5.2256710199656355,36
018,active,1,P2,10.566873792430295,36
