sub,condition,window,cluster,amplitude_uV
009,active,P3,posterior,4.636
009,active,P3,parietal,-3.135
009,active,P3,frontal,-10.898
009,active,Late,occipital,5.052
009,active,Late,posterior,2.907
009,active,Late,parietal,-0.664
009,active,Late,frontal,-4.471
009,passive,P1,occipital,4.629
009,passive,P1,posterior,2.595
009,passive,P1,parietal,-4.136
009,passive,P1,frontal,-9.238
009,passive,N1,occipital,9.475
009,passive,N1,posterior,6.954
009,passive,N1,parietal,1.449
009,passive,N1,frontal,-6.126
009,passive,P2,occipital,6.462
009,passive,P2,posterior,5.164
009,passive,P2,parietal,-1.946
009,passive,P2,frontal,-9.633
009,passive,P3,occipital,4.717
009,passive,P3,posterior,3.638
009,passive,P3,parietal,-3.345
009,passive,P3,frontal,-11.105
009,passive,Late,occipital,0.957
009,passive,Late,posterior,1.312
009,passive,Late,parietal,-1.243
009,passive,Late,frontal,-5.315
010,active,P1,occipital,-3.358
010,active,P1,posterior,-2.997
010,active,P1,parietal,-3.917
010,active,P1,frontal,-3.347
010,active,N1,occipital,6.617
010,active,N1,posterior,5.472
010,active,N1,parietal,0.748
010,active,N1,frontal,-6.468
010,active,P2,occipital,8.766
010,active,P2,posterior,7.752
010,active,P2,parietal,0.536
010,active,P2,frontal,-10.369
010,active,P3,occipital,6.417
010,active,P3,posterior,6.178
010,active,P3,parietal,0.877
010,active,P3,frontal,-9.526
010,active,Late,occipital,4.377
010,active,Late,posterior,4.074
010,active,Late,parietal,1.322
010,active,Late,frontal,-7.19
010,passive,P1,occipital,-3.06
010,passive,P1,posterior,-1.778
010,passive,P1,parietal,-1.6
010,passive,P1,frontal,-0.827
010,passive,N1,occipital,5.308
010,passive,N1,posterior,5.003
010,passive,N1,parietal,1.588
010,passive,N1,frontal,-3.32
010,passive,P2,occipital,7.081
010,passive,P2,posterior,6.674
010,passive,P2,parietal,0.365
010,passive,P2,frontal,-6.016
010,passive,P3,occipital,4.816
010,passive,P3,posterior,5.182
010,passive,P3,parietal,0.209
010,passive,P3,frontal,-5.361
010,passive,Late,occipital,3.011
010,passive,Late,posterior,3.882
010,passive,Late,parietal,1.259
010,passive,Late,frontal,-1.32
011,active,P1,occipital,1.745
011,active,P1,posterior,4.01
011,active,P1,parietal,1.278
011,active,P1,frontal,-0.827
011,active,N1,occipital,12.988
011,active,N1,posterior,11.998
011,active,N1,parietal,4.352
011,active,N1,frontal,-3.986
011,active,P2,occipital,14.653
011,active,P2,posterior,14.925
011,active,P2,parietal,5.973
011,active,P2,frontal,-5.057
011,active,P3,occipital,9.661
011,active,P3,posterior,9.251
011,active,P3,parietal,2.27
011,active,P3,frontal,-4.05
011,active,Late,occipital,6.191
011,active,Late,posterior,5.987
011,active,Late,parietal,2.092
011,active,Late,frontal,-2.303
011,passive,P1,occipital,2.362
011,passive,P1,posterior,4.634
011,passive,P1,parietal,1.889
011,passive,P1,frontal,-0.798
011,passive,N1,occipital,13.137
011,passive,N1,posterior,12.132
011,passive,N1,parietal,3.916
011,passive,N1,frontal,-3.894
011,passive,P2,occipital,15.015
011,passive,P2,posterior,15.197
011,passive,P2,parietal,5.843
011,passive,P2,frontal,-5.405
011,passive,P3,occipital,9.834
011,passive,P3,posterior,9.147
011,passive,P3,parietal,1.032
011,passive,P3,frontal,-5.198
011,passive,Late,occipital,6.673
011,passive,Late,posterior,5.952
011,passive,Late,parietal,-0.002
011,passive,Late,frontal,-4.221
012,active,P1,occipital,1.741
012,active,P1,posterior,1.54
012,active,P1,parietal,-2.196
012,active,P1,frontal,-4.131
012,active,N1,occipital,8.611
012,active,N1,posterior,9.962
012,active,N1,parietal,4.173
012,active,N1,frontal,-6.112
012,active,P2,occipital,11.658
012,active,P2,posterior,12.425
012,active,P2,parietal,2.875
012,active,P2,frontal,-12.306
012,active,P3,occipital,7.442
012,active,P3,posterior,8.151
012,active,P3,parietal,1.39
012,active,P3,frontal,-12.277
012,active,Late,occipital,3.855
012,active,Late,posterior,4.545
012,active,Late,parietal,1.232
012,active,Late,frontal,-6.0
012,passive,P1,occipital,2.034
012,passive,P1,posterior,1.625
012,passive,P1,parietal,-1.788
012,passive,P1,frontal,-3.496
012,passive,N1,occipital,6.131
012,passive,N1,posterior,6.891
012,passive,N1,parietal,2.203
012,passive,N1,frontal,-4.183
012,passive,P2,occipital,9.636
012,passive,P2,posterior,9.987
012,passive,P2,parietal,2.025
012,passive,P2,frontal,-8.799
012,passive,P3,occipital,5.028
012,passive,P3,posterior,5.285
012,passive,P3,parietal,-0.243
012,passive,P3,frontal,-9.715
012,passive,Late,occipital,2.029
012,passive,Late,posterior,2.415
012,passive,Late,parietal,-0.297
012,passive,Late,frontal,-4.671
013,active,P1,occipital,7.219
013,active,P1,posterior,6.003
013,active,P1,parietal,0.637
013,active,P1,frontal,-3.824
013,active,N1,occipital,10.37
013,active,N1,posterior,7.291
013,active,N1,parietal,-0.134
013,active,N1,frontal,-7.497
013,active,P2,occipital,16.434
013,active,P2,posterior,11.378
013,active,P2,parietal,-3.389
013,active,P2,frontal,-19.077
013,active,P3,occipital,9.838
013,active,P3,posterior,6.698
013,active,P3,parietal,-5.53
013,active,P3,frontal,-17.174
013,active,Late,occipital,4.994
013,active,Late,posterior,3.293
013,active,Late,parietal,-4.485
013,active,Late,frontal,-12.407
013,passive,P1,occipital,7.04
013,passive,P1,posterior,5.894
013,passive,P1,parietal,1.185
013,passive,P1,frontal,-3.851
013,passive,N1,occipital,9.733
013,passive,N1,posterior,6.698
013,passive,N1,parietal,0.101
013,passive,N1,frontal,-6.425
013,passive,P2,occipital,16.501
013,passive,P2,posterior,11.349
013,passive,P2,parietal,-3.377
013,passive,P2,frontal,-18.559
013,passive,P3,occipital,10.764
013,passive,P3,posterior,7.313
013,passive,P3,parietal,-5.597
013,passive,P3,frontal,-18.068
013,passive,Late,occipital,6.769
013,passive,Late,posterior,4.998
013,passive,Late,parietal,-2.971
013,passive,Late,frontal,-11.872
014,active,P1,occipital,-2.534
014,active,P1,posterior,-0.126
014,active,P1,parietal,-0.326
014,active,P1,frontal,-0.554
014,active,N1,occipital,6.458
014,active,N1,posterior,6.574
014,active,N1,parietal,1.427
014,active,N1,frontal,-5.844
014,active,P2,occipital,6.078
014,active,P2,posterior,5.889
014,active,P2,parietal,-0.119
014,active,P2,frontal,-8.405
014,active,P3,occipital,2.644
014,active,P3,posterior,3.101
014,active,P3,parietal,-1.545
014,active,P3,frontal,-6.589
014,active,Late,occipital,0.008
014,active,Late,posterior,0.759
014,active,Late,parietal,-1.653
014,active,Late,frontal,-2.136
014,passive,P1,occipital,-2.07
014,passive,P1,posterior,-0.326
014,passive,P1,parietal,-0.993
014,passive,P1,frontal,-1.401
014,passive,N1,occipital,4.892
014,passive,N1,posterior,4.842
014,passive,N1,parietal,-0.013
014,passive,N1,frontal,-6.098
014,passive,P2,occipital,5.151
014,passive,P2,posterior,5.148
014,passive,P2,parietal,0.013
014,passive,P2,frontal,-7.028
014,passive,P3,occipital,2.682
014,passive,P3,posterior,3.165
014,passive,P3,parietal,-1.579
014,passive,P3,frontal,-6.945
014,passive,Late,occipital,0.519
014,passive,Late,posterior,1.334
014,passive,Late,parietal,-0.936
014,passive,Late,frontal,-2.383
017,active,P1,occipital,10.161
017,active,P1,posterior,9.78
017,active,P1,parietal,0.091
017,active,P1,frontal,-6.741
017,active,N1,occipital,33.323
017,active,N1,posterior,29.634
017,active,N1,parietal,6.947
017,active,N1,frontal,-13.934
017,active,P2,occipital,35.156
017,active,P2,posterior,32.63
017,active,P2,parietal,7.495
017,active,P2,frontal,-16.103
017,active,P3,occipital,23.499
017,active,P3,posterior,22.826
017,active,P3,parietal,2.431
017,active,P3,frontal,-16.793
017,active,Late,occipital,15.451
017,active,Late,posterior,14.731
017,active,Late,parietal,0.164
017,active,Late,frontal,-11.743
017,passive,P1,occipital,7.904
