subject,condition,cluster,window,n,mean_amp_uv
008,passive,occipital,Late_frp,383,3.402622
008,passive,posterior,lambda,383,4.720138
008,passive,posterior,P1_frp,383,1.01325
008,passive,posterior,N1_frp,383,2.636374
008,passive,posterior,P2_frp,383,2.791012
008,passive,posterior,Late_frp,383,4.031449
008,passive,parietal,lambda,383,1.742886
008,passive,parietal,P1_frp,383,1.463051
008,passive,parietal,N1_frp,383,3.934447
008,passive,parietal,P2_frp,383,2.950573
008,passive,parietal,Late_frp,383,5.727544
008,passive,frontal,lambda,383,-1.772964
008,passive,frontal,P1_frp,383,0.975519
008,passive,frontal,N1_frp,383,2.795906
008,passive,frontal,P2_frp,383,1.182747
008,passive,frontal,Late_frp,383,4.076514
008,constant,occipital,lambda,418,6.105296
008,constant,occipital,P1_frp,418,2.348878
008,constant,occipital,N1_frp,418,3.494117
008,constant,occipital,P2_frp,418,3.49664
008,constant,occipital,Late_frp,418,5.183044
008,constant,posterior,lambda,418,4.64351
008,constant,posterior,P1_frp,418,2.393215
008,constant,posterior,N1_frp,418,3.830839
008,constant,posterior,P2_frp,418,3.258714
008,constant,posterior,Late_frp,418,5.358889
008,constant,parietal,lambda,418,2.35992
008,constant,parietal,P1_frp,418,2.402575
008,constant,parietal,N1_frp,418,4.741106
008,constant,parietal,P2_frp,418,3.775388
008,constant,parietal,Late_frp,418,6.69645
008,constant,frontal,lambda,418,-1.004249
008,constant,frontal,P1_frp,418,0.763308
008,constant,frontal,N1_frp,418,2.413498
008,constant,frontal,P2_frp,418,1.248568
008,constant,frontal,Late_frp,418,3.101071
009,active,occipital,lambda,674,3.130184
009,active,occipital,P1_frp,674,1.143029
009,active,occipital,N1_frp,674,-0.438183
009,active,occipital,P2_frp,674,-1.151985
009,active,occipital,Late_frp,674,-1.525066
009,active,posterior,lambda,674,1.393316
009,active,posterior,P1_frp,674,0.66833
009,active,posterior,N1_frp,674,0.522944
009,active,posterior,P2_frp,674,-0.892874
009,active,posterior,Late_frp,674,-1.026972
009,active,parietal,lambda,674,-1.028194
009,active,parietal,P1_frp,674,-0.698787
009,active,parietal,N1_frp,674,1.647932
009,active,parietal,P2_frp,674,-0.485515
009,active,parietal,Late_frp,674,0.140666
009,active,frontal,lambda,674,-3.430646
009,active,frontal,P1_frp,674,-1.516996
009,active,frontal,N1_frp,674,1.872736
009,active,frontal,P2_frp,674,0.320659
009,active,frontal,Late_frp,674,1.73704
009,passive,occipital,lambda,705,2.43482
009,passive,occipital,P1_frp,705,1.42125
009,passive,occipital,N1_frp,705,-1.131426
009,passive,occipital,P2_frp,705,-1.744979
009,passive,occipital,Late_frp,705,-3.364414
009,passive,posterior,lambda,705,0.940732
009,passive,posterior,P1_frp,705,0.755487
009,passive,posterior,N1_frp,705,0.001335
009,passive,posterior,P2_frp,705,-1.311378
009,passive,posterior,Late_frp,705,-2.19125
009,passive,parietal,lambda,705,-1.255314
009,passive,parietal,P1_frp,705,-1.260815
009,passive,parietal,N1_frp,705,1.118725
009,passive,parietal,P2_frp,705,-0.897444
009,passive,parietal,Late_frp,705,-0.532968
009,passive,frontal,lambda,705,-3.803713
009,passive,frontal,P1_frp,705,-3.307267
009,passive,frontal,N1_frp,705,1.101806
009,passive,frontal,P2_frp,705,-0.721993
009,passive,frontal,Late_frp,705,0.840635
009,constant,occipital,lambda,812,2.716942
009,constant,occipital,P1_frp,812,1.639102
009,constant,occipital,N1_frp,812,0.579003
009,constant,occipital,P2_frp,812,-0.611015
009,constant,occipital,Late_frp,812,-2.003474
