subject,block_type,n_fix,mean_fix_dur,duration_s,fix_rate,n_sacc,mean_sacc_amp,mean_sacc_pv,sacc_rate,pupil_mean,pupil_sd
22,constant,1954,416.1438075742086,940.5329999999996,2.0775453918150673,1956,178.74893692217907,230.34141092590517,2.0796718456449703,3426.54923695342,685.7597915149767
22,passive,2580,312.7445736434117,940.9739999999996,2.7418398382952143,2582,199.61442379858048,177.77467076266856,2.7439652955342027,2836.044259972181,701.021016369482
24,active,1920,286.43802083333554,627.7440000000003,3.058571647040831,1922,240.2075862950476,197.9160250347189,3.061757659173165,1753.286223312129,322.0361241385645
24,constant,1744,314.64793577981584,628.9800000000002,2.772743171483989,1747,174.79773192180116,167.22512856250364,2.7775127984991563,1566.7095166430452,267.14096735932264
24,passive,1891,285.40719196192407,630.3590000000005,2.9998778473853767,1893,194.61340176814485,178.58705752776277,3.0030506425703427,1506.612919703727,317.85867792754846
25,active,2352,300.1271258503395,800.835,2.936934574537826,2350,209.20323990962032,161.54395736207354,2.9344371811921306,2352.770824417334,484.9394001867304
25,constant,1979,366.4416371905032,802.0819999999994,2.467328776858228,1980,142.51974890051395,138.41409091756802,2.46857553217751,2494.982391975619,450.23404167230206
25,passive,2328,303.3264604811017,803.4609999999996,2.8974648427241663,2330,190.8741570716142,160.85150198875067,2.899954073688706,2203.9379514767,423.5476693734457
26,active,1702,226.0781433607525,510.0569999999999,3.336881956330372,1702,83304.80504630851,217.98378374433685,3.336881956330372,1246.178456348695,230.26681902611688
26,constant,1312,188.6890243902448,511.256,2.566229051590593,1311,108088.66286918178,265.1474445810034,2.5642730843256607,1227.35312239746,163.63519009638063
26,passive,1516,230.16292875989535,512.4710000000002,2.9582161722321834,1515,159.26263029260076,203.24442235282547,2.9562648423032702,1047.3818360030948,180.07583901389384
