sub,session_type,n_pictures,estimated_duration_s,gap_s,actual_duration_s,actual_minus_gap_s,estimate_plus_gap_s,raw_ratio_total_actual,gap_removed_ratio,estimate_plus_gap_ratio,n_fixations_modeled_or_observed,n_trials
006,constant,9,14.0,0.85,24.831411999998636,23.981411999998635,14.850000000000001,0.55815358967365,0.5780453738959548,0.5928428197834756,1.0,4
006,constant,12,14.75,0.85,28.488411375000396,27.638411375000395,15.6,0.5194403403797441,0.5357125235961484,0.5497015531281835,1.0,4
006,constant,18,27.0,0.85,49.110379300001114,48.26037930000111,27.85,0.5497094930474292,0.5595893864515851,0.5673442757753344,1.0,4
006,passive,9,9.125,7.688175,24.843476375000137,17.155301375000136,16.813175,0.3756189557333286,0.5530930395691415,0.6886708773997512,9.0,4
006,passive,12,12.375,10.408275,28.617038125001272,18.208763125001273,22.783275,0.44470176272838535,0.71589001898301,0.8125000508436792,12.0,4
006,passive,18,17.0,15.332175,49.31144085000142,33.97926585000142,32.332175,0.35519492253688517,0.5308133857314274,0.6719298576969448,18.0,4
007,active,9,14.75,7.6793499999999995,24.57875242499995,16.899402424999952,22.42935,0.5762247654544768,0.8455480033531455,0.9007196481990402,9.0,4
007,active,12,31.5,10.3345,40.13130109999997,29.796801099999975,41.834500000000006,0.7225436504218871,0.9879359085861643,1.0035348436046834,12.0,4
007,active,18,37.625,15.503900000000002,49.742274124999994,34.23837412499999,53.1289,0.7556079481452522,1.0991539634944487,1.0687031955188502,18.0,4
007,constant,9,21.625,0.85,24.693740700000035,23.843740700000033,22.475,0.8962808079664663,0.93040580641225,0.9319998541079613,1.0,4
007,constant,12,48.75,0.85,40.254806774999906,39.404806774999905,49.599999999999994,1.174646573224104,1.2019810924462853,1.197735629696249,1.0,4
007,constant,18,42.25,0.85,49.85321222500011,49.003212225000105,43.1,0.8415392537587006,0.8561065846641158,0.8586653292252954,1.0,4
007,passive,9,19.125,7.67935,24.648437150000518,16.96908715000052,26.80435,0.7817400926977065,1.1675921706971648,1.1057895397292234,9.0,4
007,passive,12,38.0,10.334499999999998,40.39174560000015,30.057245600000147,48.3345,0.8161992239322803,1.0934970457554933,1.0948959209137752,12.0,4
007,passive,18,49.875,15.5039,50.08254472500039,34.57864472500039,65.3789,0.9848502251304236,1.4227803285827527,1.2958673575824027,18.0,4
008,active,9,10.0,7.9248,22.13216069999908,14.207360699999079,17.9248,0.4518311671214467,0.7038604995789717,0.8098983304418509,9.0,1
008,active,12,14.0,9.7185,33.156233699999575,23.437733699999576,23.7185,0.42224337440353427,0.5973273772626,0.7153556768421591,12.0,1
008,active,18,18.0,15.5777,51.36914460000117,35.79144460000117,33.5777,0.35040490045457345,0.5029134811730793,0.6536550347774184,18.0,1
008,constant,9,11.0,0.85,22.24219600000288,21.39219600000288,11.85,0.49455548364013047,0.514206208656583,0.532771134648686,1.0,1
008,constant,12,20.0,0.85,33.26709530000153,32.41709530000153,20.85,0.601194658554968,0.6169584231687488,0.6267454315435542,1.0,1
008,constant,18,30.0,0.85,51.4618761999991,50.611876199999095,30.85,0.5829558153575545,0.5927462534969319,0.5994728967926852,1.0,1
008,passive,9,10.0,7.9248,22.25974770000176,14.33494770000176,17.9248,0.4492413900989187,0.6975958482219488,0.8052562069245099,9.0,1
008,passive,12,12.5,9.7185,33.29995659999986,23.58145659999986,22.2185,0.37537586460398126,0.5300775186211387,0.6672230918162846,12.0,1
008,passive,18,19.0,15.5777,51.97785379999914,36.40015379999914,34.5777,0.36554029477839495,0.5219758164868097,0.6652390868820477,18.0,1
009,active,9,26.125,7.679725,37.63425762500083,29.95453262500083,33.804725,0.6789987213826486,0.888782814417582,0.9081856505345064,9.0,4
009,active,12,30.0,10.194700000000001,51.30651887500062,41.11181887500062,40.1947,0.5822998386073116,0.771713685170643,0.8140029791288226,12.0,4
009,active,18,52.5,15.67075,80.62666637500115,64.95591637500115,68.17075,0.656536022505062,0.8534077005032208,0.8749427956976548,18.0,4
009,constant,9,25.0,0.85,37.731836724999994,36.88183672499999,25.85,0.6757699801962045,0.6940127755462712,0.7012116846526049,1.0,4
009,constant,12,39.75,0.85,51.412250624999615,50.56225062499962,40.6,0.7347333303875822,0.7482809605420546,0.7539861981818368,1.0,4
009,constant,18,58.75,0.85,80.7286571249997,79.8786571249997,59.599999999999994,0.7248019900034995,0.7333989076115695,0.7366102152996169,1.0,4
009,passive,9,24.25,7.6797249999999995,37.74010087499937,30.060375874999373,31.929724999999998,0.6325295450501852,0.8282224901353856,0.8610361820348535,9.0,4
009,passive,12,43.75,10.194700000000001,51.49965034999968,41.304950349999686,53.9447,0.8117280426074205,1.0494353908754785,1.0420698047062853,12.0,4
009,passive,18,53.75,15.67075,80.90389845000027,65.23314845000027,69.42075,0.6304262399780791,0.7990458198687789,0.8481444222332167,18.0,4
010,active,9,34.0,8.146999999999998,60.38304797500018,52.23604797500018,42.147,0.5590033211091577,0.6617427235859435,0.7148730129488288,9.0,4
010,active,12,39.125,10.419224999999999,67.47185362499965,57.052628624999656,49.544225,0.5270661870948394,0.6398166749140571,0.7166230340309776,12.0,4
010,active,18,49.75,15.535775,121.32983292500035,105.79405792500035,65.285775,0.41931132710502694,0.49920666024188776,0.5672470252741184,18.0,4
010,constant,9,41.5,0.85,60.49757645000045,59.64757645000046,42.35,0.7065257643121461,0.7182253883214187,0.7226479688610915,1.0,4
010,constant,12,43.5,0.85,67.58594822500004,66.73594822500004,44.349999999999994,0.6202341842116786,0.6292602672255397,0.6356004442604867,1.0,4
010,constant,18,52.0,0.85,121.45656217500004,120.60656217500004,52.849999999999994,0.3922602270273275,0.3949815813487534,0.40031181414426725,1.0,4
010,passive,9,47.375,8.147,60.49761612499992,52.350616124999924,55.522,0.7276779961372647,0.8507272581071178,0.8829046273091881,9.0,4
010,passive,12,41.375,10.419225,67.7317067749998,57.312481774999796,51.794225,0.5943944733266426,0.729600562742276,0.7827103084799036,12.0,4
010,passive,18,48.0,15.535775000000001,121.45235982500003,105.91658482500003,63.535775,0.37791545971106616,0.44124004499998704,0.5258654995127516,18.0,4
011,active,9,5.5,7.607675,28.81539907500155,21.20772407500155,13.107675,0.19116829592264853,0.2598537206029385,0.45524305863779246,9.0,4
011,active,12,7.5,10.4515,38.184514300000046,27.733014300000047,17.9515,0.19692991006304134,0.2722101916982738,0.47201074610004845,12.0,4
011,active,18,10.0,15.4507,57.256139424999674,41.805439424999676,25.450699999999998,0.17472723661510506,0.2394308324008084,0.4448125518129777,18.0,4
011,constant,9,5.75,0.85,28.913607049998976,28.063607049998975,6.6,0.19802618721082388,0.20399942636475502,0.22743148300954108,1.0,4
011,constant,12,7.25,0.85,38.28676975000053,37.43676975000053,8.1,0.18999400389420878,0.19434002597680095,0.2122680521650741,1.0,4
011,constant,18,11.25,0.85,57.36205169999903,56.51205169999903,12.1,0.19716208843519614,0.2001456423281311,0.21198864290245267,1.0,4
011,passive,9,5.0,7.607675,28.942544524999903,21.334869524999903,12.607675,0.1728106790643531,0.2344939665645335,0.4357390946502019,9.0,4
011,passive,12,6.25,10.4515,38.41160190000028,27.960101900000275,16.701500000000003,0.16262932123391624,0.22392602181684856,0.43607345290818067,12.0,4
011,passive,18,8.5,15.450700000000001,57.58267177499965,42.131971774999656,23.9507,0.1475710802359652,0.20179804463484788,0.4161384073523501,18.0,4
012,active,9,15.25,7.7531,33.21856877499977,25.46546877499977,23.0031,0.45911744405030536,0.601410223091341,0.6944581745585229,9.0,4
012,active,12,20.75,10.516225,43.42154427500009,32.90531927500009,31.266225,0.47843232580592854,0.6344923517340839,0.7229015633118252,12.0,4
012,active,18,22.0,15.436175,57.66027144999998,42.224096449999976,37.436175000000006,0.38008399560019,0.5216997903336414,0.6512645314604073,18.0,4
012,constant,9,15.625,0.85,33.324562625000226,32.474562625000225,16.475,0.46579065466751907,0.4779891284027799,0.49147962812540447,1.0,4
012,constant,12,22.5,0.85,43.53174039999999,42.68174039999999,23.35,0.5157258464710759,0.5260499597477957,0.5353929692606032,1.0,4
012,constant,18,22.0,0.85,57.76268197499985,56.91268197499985,22.85,0.3832898659113694,0.3891141640279151,0.39816591425905085,1.0,4
012,passive,9,13.25,7.7531,33.32510004999972,25.57200004999972,21.0031,0.39743458636312,0.5194319204801151,0.631939301311929,9.0,4
012,passive,12,18.25,10.516225,43.740868625000076,33.22464362500008,28.766225,0.41512388780770404,0.5478035413781865,0.6578011588160598,12.0,4
012,passive,18,25.0,15.436174999999999,58.00860492499987,42.572429924999874,40.436175,0.43068091938198483,0.5903509318060277,0.7001615948604285,18.0,4
013,active,9,13.0,7.938924999999999,28.414936374999343,20.47601137499934,20.938924999999998,0.4589946804730298,0.6385603036032337,0.73877275768663,9.0,4
013,active,12,20.5,10.49215,36.603824650000206,26.111674650000204,30.992150000000002,0.5760096057514615,0.8347484647401978,0.8742470193641676,12.0,4
013,active,18,24.75,15.43445,53.81191264999961,38.377462649999615,40.18445,0.4628984290043573,0.6523758153432444,0.7506381424798226,18.0,4
013,constant,9,21.25,0.85,28.508905450001294,27.658905450001292,22.1,0.7454892116700682,0.7684254905003988,0.7753340712296863,1.0,4
